rider_id,first_name,last_name,gender,date_of_birth,email_id,phone_no,signup_date,fav_start_location,fav_end_location
CUS1001,Circuit,Bengt,M,7/10/91,bcircuit0@netscape.com,211-114-8225,7/10/06,home,office
CUS1002,Pantry,Lexie,F,11/30/69,lpantry1@opera.com,678-709-5057,11/30/84,home,office
CUS1003,Bonevant,Mamie,F,12/25/94,mbonevant2@wufoo.com,581-373-7201,12/25/09,home,office
CUS1004,Theriot,Ellyn,F,2/6/68,etheriot3@macromedia.com,203-161-4921,2/6/83,home,office
CUS1005,Arnason,Brockie,M,1/4/82,barnason4@baidu.com,980-924-4982,1/4/97,home,office
CUS1006,Wisedale,Remington,M,10/17/66,rwisedale5@omniture.com,676-188-5370,10/17/81,home,office
CUS1007,Parrett,Olin,M,4/4/89,oparrett6@ox.ac.uk,645-615-5786,4/4/04,home,office
CUS1008,Asals,Gracie,F,10/22/70,gasals7@weebly.com,846-533-5430,10/22/85,home,office
CUS1009,Snowsill,Kienan,M,7/29/70,ksnowsill8@mlb.com,464-586-8972,7/29/85,home,office
CUS1010,Shawyers,Desmond,M,11/29/72,dshawyers9@purevolume.com,286-497-4269,11/29/87,home,office
CUS1011,Rives,Anestassia,F,9/2/75,arivesa@about.com,869-409-1720,9/2/90,home,office
CUS1012,Lindstrom,Heath,F,9/30/73,hlindstromb@dailymail.co.uk,614-206-7398,9/30/88,home,office
CUS1013,Sweeten,Byrom,M,1/11/75,bsweetenc@pinterest.com,881-325-4850,1/11/90,home,office
CUS1014,Yashnov,Elaine,F,3/17/98,eyashnovd@tmall.com,124-308-2506,3/17/13,home,office
CUS1015,Sauvain,Gloria,F,4/6/82,gsauvaine@wordpress.org,114-710-8752,4/6/97,home,office
CUS1016,Deuss,Beckie,F,9/5/74,bdeussf@harvard.edu,613-511-2867,9/5/89,home,office
CUS1017,Tregenza,Edgardo,M,11/16/90,etregenzag@cnet.com,776-937-3426,11/16/05,home,office
CUS1018,Philipeaux,Karlee,F,5/24/91,kphilipeauxh@jigsy.com,502-299-7174,5/24/06,home,office
CUS1019,Kildale,Darb,M,10/10/83,dkildalei@netlog.com,182-960-9591,10/10/98,home,office
CUS1020,Pirelli,Thelma,F,1/2/84,tpirellij@newsvine.com,161-118-3870,1/2/99,home,office
CUS1021,Witterick,Moore,M,9/7/97,mwitterickk@creativecommons.org,232-678-5023,9/7/12,home,office
CUS1022,Doody,Andrus,M,3/2/80,adoodyl@va.gov,853-794-5809,3/2/95,home,office
CUS1023,Austin,Lannie,M,1/24/90,laustinm@mit.edu,904-356-1724,1/24/05,home,office
CUS1024,Madle,Dirk,M,5/7/91,dmadlen@hubpages.com,380-473-2587,5/7/06,home,office
CUS1025,Mapplebeck,Gordie,M,8/25/90,gmapplebecko@blogs.com,207-762-2715,8/25/05,home,office
CUS1026,Grewer,Fidelio,M,3/14/98,fgrewerp@people.com.cn,814-312-0695,3/14/13,home,office
CUS1027,Gartenfeld,Durante,M,11/1/95,dgartenfeldq@php.net,679-781-9220,11/1/10,home,office
